"","Name","URI","Cosine_Similarity"
"1","We Wept","spotify:track:1PXPvnG6wREVelO000qz1M","0.9999712415"
"2","Winterteens","spotify:track:239KbFrTMobJJ4as7XuH8L","0.9999607457"
"3","They Stayin Mirrors","spotify:track:24eOrG7VmwQNRjWFF0FYqy","0.9999540277"
"4","Withering Illusionsand Desolation","spotify:track:0zoAp8XVjMRaI7rQs4I3Xi","0.9999452787"
"5","Kathaarian Life Code","spotify:track:17KmKDI01ywDZiZv6FEze9","0.9999438393"
"6","The Deported","spotify:track:2xxdTkfFABqDa9yNyUR5b2","0.9999388562"
"7","Etemenaki:Templeofthe Foundationof Heavenand Earth","spotify:track:3WFuhCG8RzpEOWZcle75Y8","0.9999364444"
"8","Earthmover","spotify:track:77yGZRjuWfSzbDT0ROSSUG","0.9999239097"
"9","Eternal Solitude","spotify:track:3ItVttM9NWuxWwUvuvS0JS","0.9999219386"
"10","Eternal Solitude","spotify:track:3ItVttM9NWuxWwUvuvS0JS","0.9999219386"
