"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1",774,"Milion",0.734,0.677,0,-4.12,0,0.0471,0.087,0,0.104,0.189,75.053,"spotify:track:7lDuA0zGpNONIAsrwWr4yr",158,4,"balkantrap","Rap"
"2",775,"Ludanoc",0.713,0.878,1,-4.104,1,0.0513,0.0163,0,0.103,0.725,130.039,"spotify:track:6BpEsWk5MjSz3s45dg9RNS",194,4,"balkantrap","Rap"
"3",776,"Milion",0.715,0.913,1,-4.337,0,0.0602,0.00686,0,0.135,0.669,97.97,"spotify:track:4XNdzdcmGM8UrrJV8C1k4a",179,4,"balkantrap","Rap"
"4",777,"12sati",0.844,0.856,6,-5.193,0,0.0453,0.172,1.58e-05,0.104,0.947,129.994,"spotify:track:0QZj1doaH1iyj8ubJ9wm8F",180,4,"balkantrap","Rap"
"5",778,"Peta Brzina",0.625,0.939,7,-3.185,0,0.135,0.27,7.26e-06,0.105,0.794,172.016,"spotify:track:1RhlloW4u7N2Y4h2EOgL7q",210,4,"balkantrap","Rap"
"6",779,"Zver",0.688,0.849,5,-3.7,1,0.048,0.0291,0,0.11,0.781,110.007,"spotify:track:3uqXEpHB8x3RFTQOrPC2wq",201,4,"balkantrap","Rap"
"7",780,"Otrove",0.717,0.873,3,-4.541,0,0.0451,0.136,0,0.0692,0.91,89.984,"spotify:track:6kjGkbgWxoZwJ61S29GKKR",233,4,"balkantrap","Rap"
"8",781,"Lokacija",0.737,0.812,10,-4.621,0,0.0973,0.0566,2.04e-05,0.333,0.671,117.929,"spotify:track:09AOhbWZD9GyOY1HTVYsEh",185,4,"balkantrap","Rap"
"9",782,"Doktore",0.577,0.886,5,-2.299,0,0.0639,0.162,0,0.257,0.958,195.644,"spotify:track:6rS4HWM4icmu6pxcj7UbCN",210,4,"balkantrap","Rap"
"10",783,"Samo Jako",0.709,0.79,6,-2.955,0,0.0552,0.3,0,0.0716,0.586,150.98,"spotify:track:5HQXFiEEebi2Z4en7iRATm",246,4,"balkantrap","Rap"
"11",784,"Otkad Tebe Znam",0.521,0.892,0,-1.223,0,0.0495,0.058,0,0.369,0.773,170.185,"spotify:track:3STzY42ePLf8YjhoUIDdSy",194,4,"balkantrap","Rap"
"12",785,"Horoskop",0.765,0.933,11,-2.959,0,0.123,0.55,0,0.103,0.938,104.041,"spotify:track:3taxCjnMzX4c3uewXrdnzy",190,4,"balkantrap","Rap"
"13",786,"Epaneka",0.756,0.803,2,-3.913,0,0.041,0.0629,0.000102,0.362,0.622,103.03,"spotify:track:3Ug7f5DN2AjnDuol2aE6AZ",163,4,"balkantrap","Rap"
"14",787,"Pevacica",0.614,0.82,9,-3.561,0,0.0946,0.0598,0,0.234,0.583,99.787,"spotify:track:5bjvvouYWeiGk3D1uAAEWZ",192,4,"balkantrap","Rap"
"15",788,"Poplava",0.646,0.923,11,-3.107,0,0.033,0.0282,0,0.159,0.838,108.06,"spotify:track:5ZcmZ5tIfFrOMLHkCuwS8E",206,4,"balkantrap","Rap"
"16",789,"Novcanice",0.722,0.801,5,-3.764,0,0.0485,0.0204,0,0.394,0.839,100.056,"spotify:track:3u2VAJPQnNl5ndtYy0kzGU",166,4,"balkantrap","Rap"
