"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1",1094,"Leavingthe Solar System",0.485,0.0471,2,-25.273,0,0.0499,0.972,0.86,0.0866,0.124,119.979,"spotify:track:1S8Was2vxyk39dgCa0nDfB",105,4,"deepchill-out","Ambient"
"2",1095,"Where Stars Are Born",0.138,0.0652,0,-22.357,1,0.0462,0.986,0.937,0.114,0.043,90.117,"spotify:track:2YKiBEaZyQKN1O1xnu0El1",163,5,"deepchill-out","Ambient"
"3",1096,"Crossinga Celestial Chasm",0.161,0.13,4,-18.37,0,0.0388,0.973,0.893,0.11,0.0398,68.697,"spotify:track:1diiy0M5KMqpTkE6la9LLp",99,5,"deepchill-out","Ambient"
"4",1097,"Gravitational Slingshot",0.546,0.107,0,-20.086,1,0.0337,0.937,0.95,0.0927,0.158,136.007,"spotify:track:5B5EgxWDvfOsuTJTUxOcoF",135,4,"deepchill-out","Ambient"
"5",1098,"Sailingon Wingsof Dust",0.358,0.103,9,-22.77,0,0.0389,0.961,0.961,0.0916,0.148,59.962,"spotify:track:4rzY9nEihscwSIFbEUZxR4",123,4,"deepchill-out","Ambient"
"6",1099,"The Running Blue Cloud",0.0743,0.0387,2,-26.138,0,0.0399,0.948,0.812,0.098,0.0392,179.745,"spotify:track:3CEE04d0vyXQLnNPy4W2YY",111,4,"deepchill-out","Ambient"
"7",1100,"In Frontofa Red Supergiant",0.163,0.068,6,-20.044,0,0.0476,0.987,0.735,0.0985,0.202,83.245,"spotify:track:6uSXq0wOrt3Sg5nhGmS65G",116,3,"deepchill-out","Ambient"
"8",1101,"Ringsof Saturn",0.198,0.194,7,-20.195,1,0.0512,0.942,0.967,0.0909,0.0332,67.677,"spotify:track:3kLs5zaXghJkwrzltWxHbC",114,3,"deepchill-out","Ambient"
"9",1102,"The Cassini Division",0.195,0.199,0,-18.507,0,0.0388,0.936,0.894,0.114,0.0386,74.709,"spotify:track:4SFIvlHsSyzaxpVfQVFcNR",118,4,"deepchill-out","Ambient"
"10",1103,"The Encke Gap",0.113,0.115,11,-22.447,0,0.0384,0.932,0.856,0.103,0.0376,63.113,"spotify:track:5liKvZ1sqvX7qXB2vfpjGm",114,4,"deepchill-out","Ambient"
"11",1104,"Aurorae",0.249,0.156,4,-18.407,0,0.0522,0.954,0.985,0.101,0.106,83.567,"spotify:track:1L6X8NRNKmYIQ3k0CiwdxW",109,3,"deepchill-out","Ambient"
