"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1",15053,"Another Sky",0.575,0.701,1,-7.051,1,0.0713,0.387,0.048,0.0955,0.826,116.373,"spotify:track:1kGE7GfvlbMmOpZybMOSEH",293,4,"deeplatinjazz","Jazz"
"2",15054,"Here We Go Again",0.698,0.581,10,-14.907,0,0.0402,0.451,0.0423,0.0468,0.745,101.706,"spotify:track:61v7U0wdCwrVjgP6SUBvID",301,4,"deeplatinjazz","Jazz"
"3",15055,"Encuentro",0.496,0.777,0,-8.572,1,0.0361,0.123,0.673,0.0682,0.889,130.221,"spotify:track:1GVEASZRXC4iTaof72hA79",458,4,"deeplatinjazz","Jazz"
"4",15056,"In Every Way",0.461,0.519,9,-14.826,1,0.0539,0.498,0.0833,0.0831,0.654,135.703,"spotify:track:2FNbzsAZNWCDucbd84qpX1",308,4,"deeplatinjazz","Jazz"
"5",15057,"Skippin\",0.595,0.533,10,-13.171,1,0.0371,0.337,0.947,0.045,0.743,108.676,"spotify:track:0lW6v1dvzZspOOCwpBK5mX",195,4,"deeplatinjazz","Jazz"
"6",15058,"He Loves You",0.468,0.937,1,-7.973,1,0.0688,0.79,0.0114,0.28,0.543,115.145,"spotify:track:2692TfyboJY8Lm88i4ApZH",292,4,"deeplatinjazz","Jazz"
"7",15059,"Feelin\Happy",0.709,0.931,5,-7.219,0,0.0597,0.385,0.837,0.0953,0.963,103.247,"spotify:track:2tb45sHqz02OtBPyiZwmzD",227,4,"deeplatinjazz","Jazz"
"8",15060,"Hunkof Heaven",0.658,0.499,2,-15.298,0,0.162,0.273,6.87e-05,0.162,0.685,103.928,"spotify:track:5k5y7Q1IM3C1kaZJb6QIaS",262,4,"deeplatinjazz","Jazz"
"9",15061,"Liquid Love",0.495,0.678,6,-8.597,0,0.0351,0.703,0.855,0.361,0.826,94.786,"spotify:track:7Ct1AF0R8MX2oHIl7OFG7x",347,4,"deeplatinjazz","Jazz"
"10",15062,"Deep Talkin",0.654,0.79,4,-7.123,0,0.0749,0.271,0.0476,0.0982,0.758,134.294,"spotify:track:1w9U6ES8LZsSDAAyxHBPdg",279,4,"deeplatinjazz","Jazz"
"11",15063,"Shiki No Uta",0.49,0.632,11,-8.898,0,0.406,0.73,0.252,0.127,0.372,90.568,"spotify:track:6YN4XKUaE8HtqL5S1sZXC9",176,4,"deeplatinjazz","Jazz"
"12",15064,"Deja Vu",0.583,0.588,10,-6.051,0,0.0615,0.267,1.46e-05,0.27,0.577,116.416,"spotify:track:14RP2gq7l9qL2amvWJr3QV",373,4,"deeplatinjazz","Jazz"
"13",15065,"Harlem Boys",0.676,0.803,5,-9.178,0,0.0578,0.487,0.00604,0.1,0.814,106.948,"spotify:track:0yOnIP1qUm9ddU2oA20E7F",427,4,"deeplatinjazz","Jazz"
"14",15066,"Eruption-2015 Remaster",0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,"spotify:track:2tAeN2TKlQLOoSPXtARzBV",102,4,"deeplatinjazz","Jazz"
"15",15067,"Seven Seas Of Rhye-Instrumental Mix2011",0.42,0.878,2,-8.302,1,0.0511,0.176,0.848,0.239,0.529,128.813,"spotify:track:3upBt9DZYK68Za9nBdweZB",189,4,"deeplatinjazz","Jazz"
"16",15068,"Tear Ya Down-Instrumental Version",0.457,0.877,4,-9.075,0,0.0367,0.00688,0.851,0.111,0.696,101.413,"spotify:track:3Z9VHhrDzqsYWqapRiUU9A",156,4,"deeplatinjazz","Jazz"
"17",15069,"I Wouldn\t Wantto Be Like You-Backing Track Rough Mix",0.708,0.539,0,-12.026,0,0.0678,0.257,0.0114,0.316,0.141,100.022,"spotify:track:7n5F5G3fakYPjqAIFVRpgw",209,4,"deeplatinjazz","Jazz"
"18",15070,"Asleepinthe Desert-Instrumental",0.671,0.173,3,-20.005,0,0.0353,0.81,0.91,0.12,0.145,74.834,"spotify:track:0ukb39j9T97cToQVbxnn9a",209,4,"deeplatinjazz","Jazz"
"19",15071,"The Great Giginthe Sky",0.275,0.216,5,-13.818,1,0.0345,0.768,0.897,0.0832,0.181,116.388,"spotify:track:2TjdnqlpwOjhijHCwHCP2d",283,4,"deeplatinjazz","Jazz"
"20",15072,"Speed Of Life-1999 Remastered Version",0.403,0.769,8,-11.058,1,0.0349,0.0038,0.876,0.33,0.741,115.024,"spotify:track:0elOGHuXSgkvpNimG93jlp",166,4,"deeplatinjazz","Jazz"
"21",15073,"No Quarter-Rough Mixwith JP JKeyboard Overdubs-No Vocal",0.395,0.235,8,-15.641,0,0.0514,0.929,0.949,0.0767,0.0374,138.271,"spotify:track:0lybbSQhxgrHj7OsXoBT4h",423,4,"deeplatinjazz","Jazz"
"22",15074,"Music For My Mother-Instrumental45 Version",0.673,0.796,2,-8.348,1,0.0458,0.105,0.5,0.0941,0.429,92.247,"spotify:track:5N3EiIH39YCMyNymAe02ny",374,4,"deeplatinjazz","Jazz"
"23",15075,"Peace Frog-Backstage&Dangerous-The Private Rehearsal;Instrumental Version",0.408,0.636,7,-14.245,1,0.0289,0.169,0.824,0.567,0.822,112.04,"spotify:track:0NfMlouC3WjKw8J5AsUtQq",170,4,"deeplatinjazz","Jazz"
"24",15076,"Do You Know What?-Instrumental",0.679,0.563,5,-19.153,1,0.143,0.799,0.887,0.0948,0.741,194.713,"spotify:track:7nRjHYcVnQAsdNseV1RsLA",434,4,"deeplatinjazz","Jazz"
"25",15077,"Bornina Trunk-Instrumental Alternative Version",0.368,0.844,1,-8.938,1,0.0339,0.00196,0.716,0.371,0.555,90.513,"spotify:track:3Cuog6VjpWstn7qrkpYCvq",287,4,"deeplatinjazz","Jazz"
"26",15078,"Momma Miss America-Remastered2011",0.425,0.596,7,-9.289,1,0.0316,0.553,0.755,0.141,0.589,94.157,"spotify:track:7HtIHJTzfXo1Pc8dtrNC3L",245,4,"deeplatinjazz","Jazz"
"27",15079,"Cold Sweat-Instrumental",0.922,0.628,7,-4.532,1,0.0353,0.176,0.595,0.0449,0.611,111.377,"spotify:track:6GFyIYFz8bUQ4jBbrzNiuz",317,4,"deeplatinjazz","Jazz"
"28",15080,"Beef Jerky-Remastered2010",0.443,0.634,9,-12.677,1,0.079,0.0314,0.358,0.33,0.435,115.003,"spotify:track:0W0w5YP7Sy6nvSJV5DKfD8",211,4,"deeplatinjazz","Jazz"
"29",15081,"Reggatta De Blanc-Remastered2003",0.347,0.911,2,-7.036,1,0.0603,0.000968,0.0165,0.0775,0.425,159.41,"spotify:track:3yeA8AfVVOF99smRtOpScs",185,4,"deeplatinjazz","Jazz"
"30",15082,"Bicycle Race-Instrumental",0.461,0.405,3,-10.703,1,0.0371,0.0657,0.869,0.081,0.489,83.091,"spotify:track:6tAZ4FiA1l6fJoK9xLaFX6",189,4,"deeplatinjazz","Jazz"
"31",15083,"Steppin\Out-Live",0.31,0.868,5,-12.57,1,0.31,0.0914,0.73,0.981,0.438,106.715,"spotify:track:1aWvwbR5saWdou5XmuYHBT",818,4,"deeplatinjazz","Jazz"
"32",15084,"Teenage Lobotomy-Backing Track",0.37,0.759,9,-4.595,1,0.0533,7.1e-06,0.847,0.278,0.633,185.707,"spotify:track:0c2nBVwLzuOTrkzgVaYHk4",126,4,"deeplatinjazz","Jazz"
"33",15085,"Instrumental-Remastered Studio",0.126,0.864,9,-5.962,1,0.0763,1.25e-06,0.922,0.0835,0.304,149.253,"spotify:track:4c68hwOnnj18ZftZfHJHg7",230,4,"deeplatinjazz","Jazz"
"34",15086,"Makin\Love-Instrumental Outtake",0.685,0.617,0,-9.606,1,0.0278,0.687,0.953,0.0684,0.699,102.848,"spotify:track:6nYpWZe6PBoK9eag6SgQdh",284,4,"deeplatinjazz","Jazz"
"35",15087,"Rat Salad-2009 Remastered Version",0.517,0.599,11,-13.78,0,0.116,0.0166,0.929,0.275,0.454,103.602,"spotify:track:1uPH6mPMlbB4SqrHmRqnlE",148,4,"deeplatinjazz","Jazz"
"36",15088,"Maggot Brain",0.3,0.353,4,-15.588,0,0.047,0.777,0.478,0.406,0.19,134.912,"spotify:track:505adiMkMfo80cg6HJtmWT",621,3,"deeplatinjazz","Jazz"
"37",15089,"Quadrant4",0.397,0.814,6,-12.501,1,0.0693,1.16e-05,0.897,0.0468,0.532,121.431,"spotify:track:4yorEi80D59lHE1xiN0vak",267,4,"deeplatinjazz","Jazz"
"38",15090,"Sunshine Of Your Love",0.503,0.742,5,-10.063,0,0.0653,0.0194,0.362,0.349,0.755,133.728,"spotify:track:6USzmGnPpWio4nDFXW0Ak6",405,4,"deeplatinjazz","Jazz"
